ElementID,ParamID,Meaning,ValueType,SafeOrTypicalRange,Notes,ObservedValues,ObservedInFiles
Stereo Imager,Aux: Recover Sides Gain Offset (dB),Sustain Recover Sides gain,dB float,0.5..1.2 safe,Use sustain more than transient for width,"0,60000000; 1,00000000; 1,20000000; 1,80000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml; Dochenka_FINAL_Ozone12_Streaming_WideB_ImpactOpt_Open.xml
Stereo Imager,Band 1 Active,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Band 1 Width Percent,Transient/normal band width,percent float,"low <=0, mid modest, highs moderate",In T/S mode this is transient branch,"-20,00000000; -22,00000000; -25,00000000; -6,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml
Stereo Imager,Band 2 Active,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Band 2 Width Percent,Transient/normal band width,percent float,"low <=0, mid modest, highs moderate",In T/S mode this is transient branch,"-5,00000000; 0,00000000; 12,00000000; 18,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Band 3 Active,OBSERVED_UNKNOWN,unknown,do not change blindly,Observed in XML but not semantically confirmed,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Band 3 Width Percent,Transient/normal band width,percent float,"low <=0, mid modest, highs moderate",In T/S mode this is transient branch,"0,00000000; 28,00000000; 34,00000000; 5,00000000; 8,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Band 4 Width Percent,Transient/normal band width,percent float,"low <=0, mid modest, highs moderate",In T/S mode this is transient branch,"0,00000000; 34,00000000; 42,00000000; 5,00000000; 8,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Crossover Cutoff 1,Imager crossover 1,Hz float,120..180,Keep low/sub stable,"165,00000000; 165,70428467; 166,88232422",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Crossover Cutoff 2,Imager crossover 2,Hz float,2500..3500 for vocal-safe width,Raise to protect vocal center,"1577,30712891; 2500,00000000; 3000,00000000; 3484,03076172",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Crossover Cutoff 3,Imager crossover 3,Hz float,10000..12000,Top band split,"11999,37695312; 12000,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Enable Stereoizer,Stereoize enable,bool,0 by default,Do not enable without separate test on ready stereo WAV,0,Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Za_Hutorom_FINAL_WOW_Streaming_Ozone12.xml; Za_Hutorom_Ozone12_ModernPop_Streaming_Start.xml
Stereo Imager,Module Amount,Overall Imager amount,percent float,40..65,Global strength; high values increase phase risk,"38,00000000; 42,00000000; 50,00000000; 58,00000000; 60,00000000; 68,00000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Processing Mode,Stereo vs Transient/Sustain mode,enum int,1 for Transient/Sustain in confirmed presets,"If not T/S, Aux width parameters may do nothing",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml; Dochenka_FINAL_Ozone12_Streaming_WideB_ImpactOpt_Open.xml
Stereo Imager,Recover Sides Enabled,Transient/normal Recover Sides enable,bool,1 if used,Gain still controls amount,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Recover Sides Gain Offset (dB),Transient/normal Recover Sides gain,dB float,"0..0.8 safe, <=1.2 normally",Do not push to +3 dB without test,"0,00000000; 0,50000000; 0,80000000",Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,SmoothVectorscope Mode,Vectorscope smoothing GUI mode,enum int,leave,GUI/visual behavior; not core audio setting,2,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Stereoizer Mode,Stereoizer mode enum,enum int,leave if Stereoizer off,Meaning must be GUI-verified,1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml
Stereo Imager,Transient/Sustain Selection,Selected T/S view in GUI,enum int,1,"GUI state, not necessarily audio-critical",1,Dochenka_10_WideB_Impact_Strong.xml; Dochenka_11_WideB_Impact_Opt.xml; Dochenka_12_WideB_ImpactOpt_ClarityStab_Dark.xml; Dochenka_13_WideB_ImpactOpt_ClarityStab_Open.xml; Dochenka_5_Wide_TS_Strong.xml; Dochenka_6_Wide_TS_Extreme.xml; Dochenka_7_WideB_DynEQ_Soft.xml; Dochenka_8_WideB_DynEQ_Hard.xml; Dochenka_9_WideB_Impact_Soft.xml; Dochenka_FINAL_Ozone12_Streaming_WideB_ImpactOpt_Open.xml
Unlimiter,Auto Gain Enable,Auto gain compensation,bool,1,Module not default active chain,1,Dochenka_2_DarkWideSafe_Ozone12.xml; Dochenka_3_StreamingNoClicks_Ozone12.xml
